BD_Team,Region,Client_Name,Industry,Lead_Source,Campaign,Lead_Score,Current_Stage,Initial_Contact_Date,Deal_Closed_Date,Expected_Deal_Size,Actual_Revenue,BD_Representative,Opportunity_ID
Team E,North-America,HealthPlus,Healthcare,Unknown,Referral Program,31,Proposal Sent,45225,,57838.84,0,Rafael Souza,OPP-00202
Team B,North-America,Urbanmobility,Transportation,Event,Green tech day,74,Qualified,45174,,44971.55,0,Meera Shah,OPP-00203
Team A,Asia-Pacific,AgriCorp,Agriculture,Email Campaign,Referral Program,89,Prospecting,45469,,31753.34,0,Alex Patel,OPP-00204
Team C,Asia-Pacific,MarketIQ,Market Intelligence,Event,Education Forum,39,Proposal Sent,45387,,70628.54,0,Lina Fernandez,OPP-00205
Team E,Asia-Pacific,HealthPlus,Healthcare,Webinar,agri meet,65,Qualified,45530,,33361.43,0,Rafael Souza,OPP-00206
Team A,Europe,FinPeak,FinTech,Partnership,green tech day,61,Qualified,45751,,95977.68,0,Priya Singh,OPP-00207
Team C,Middle-East,GreenTech,Renewable Energy,Outbound,Referral Program,72,Closed Lost,45707,45740,22848.2,0,Lina Fernandez,OPP-00208
Team D,Latin-America,MarketIQ,Market Intelligence,Outbound,Healthcare expo,47,Closed Won,45844,45869,127961.58,104970.5,Emma Johnson,OPP-00209
Team B,North-America,FinPeak,FinTech,Email Campaign,Agri Meet,23,Prospecting,45728,,48451.34,0,Meera Shah,OPP-00210
Team B,Middle-East,SafeBank,Financial Services,Partnership,Referral Program,43,Qualified,45834,,17060.75,0,Meera Shah,OPP-00211
Team B,Latin-America,CloudWorks,Cloud Computing,Event,FinTech Webinar,29,Proposal Sent,45816,,195472.36,0,Meera Shah,OPP-00212
Team D,Europe,CloudWorks,Cloud Computing,Unknown,Spring Launch,32,Proposal Sent,45869,,13285.67,0,Chen Wei,OPP-00213
Team B,Middle-East,SafeBank,Financial Services,Webinar,Education Forum,77,Prospecting,45205,,130684.91,0,Rohit Menon,OPP-00214
Team D,Asia-Pacific,GreenSystems,Renewable Energy,Outbound,Education Forum,90,Closed Lost,45321,45488,86706.71,0,Unknown,OPP-00215
Team A,Asia-Pacific,AgriHarvest,Agriculture,Social Media,Green Tech Day,96,Closed Won,45759,45853,36718.54,43173.8,Alex Patel,OPP-00216
Team B,Europe,EduNext,Education,Social Media,Agri Meet,78,Qualified,45713,,56726.84,0,Rohit Menon,OPP-00217
Team D,North-America,EduNext,Education,Email Campaign,Green Tech Day,21,Proposal Sent,45716,,12368.35,0,Emma Johnson,OPP-00218
Team A,Asia-Pacific,TechNova,Technology,Referral,FinTech Webinar,53,Proposal Sent,45696,,56895.86,0,Alex Patel,OPP-00219
Team C,Middle-East,MediCore,Healthcare,Email Campaign,Healthcare Expo,75,Proposal Sent,45396,,13805.3,0,Samir Gupta,OPP-00220
Team A,Latin-America,TechNova,Technology,Referral,Education Forum,20,Qualified,45359,,10168.03,0,Alex Patel,OPP-00221
Team B,Latin-America,GreenSystems,Renewable Energy,Inbound,Tech Summit,95,Negotiation,45678,,28090.7,0,Meera Shah,OPP-00222
Team C,Latin-America,AgriCorp,Agriculture,Email Campaign,Summer Outreach,82,Prospecting,45845,,28086.21,0,Lina Fernandez,OPP-00223
Team C,North-America,TechNova,Technology,Social Media,GreenTechDay,81,Prospecting,45642,,48229.82,0,Samir Gupta,OPP-00224
Team A,Europe,CloudWorks,Cloud Computing,Outbound,Agri Meet,36,Proposal Sent,45685,,37791.78,0,Priya Singh,OPP-00225
Team C,Middle-East,Urbanmobility,Transportation,Event,FinTech Webinar,61,Prospecting,45603,,226141.95,0,Samir Gupta,OPP-00226
Team C,North-America,HealthPlus,Healthcare,Email Campaign,Education Forum,57,Prospecting,45354,,34738.26,0,Lina Fernandez,OPP-00227
Team D,Middle-East,BioHealth,Biotechnology,Referral,Summer outreach,27,Prospecting,45451,,15370.1,0,Emma Johnson,OPP-00228
Team D,North-America,HealthPlus,Healthcare,Referral,Green Tech Day,73,Prospecting,45681,,55542.25,0,Chen Wei,OPP-00229
Team C,Europe,HealthPlus,Healthcare,Outbound,Summer Outreach,55,Closed Won,45663,45835,15137.28,17109.66,Lina Fernandez,OPP-00230
Team E,Latin-America,FinEdge,Financial Services,Social Media,Tech summit,98,Proposal Sent,45404,,60604.69,0,Sara Ibrahim,OPP-00231
Team D,North-America,FinPeak,FinTech,Inbound,Education Forum,68,Closed Won,45271,45335,38058.44,39030.54,Emma Johnson,OPP-00232
Team D,North-America,AgriHarvest,Agriculture,Webinar,referral program,84,Proposal Sent,45183,,71006.08,0,Emma Johnson,OPP-00233
Team C,Middle-East,GreenTech,Renewable Energy,Outbound,Referral Program,61,Negotiation,45417,,69773.04,0,Samir Gupta,OPP-00234
Team B,Asia-Pacific,CloudWorks,Cloud Computing,Referral,TechSummit,28,Prospecting,45457,,97337.15,0,Rohit Menon,OPP-00235
Team A,North-America,MediCore,Healthcare,Event,education forum,84,Negotiation,45458,,16672.99,0,Priya Singh,OPP-00236
Team E,Europe,GreenTech,Renewable Energy,Partnership,Spring Launch,71,Qualified,45185,,55960.87,0,Rafael Souza,OPP-00237
Team D,Middle-East,AgriHarvest,Agriculture,Event,Healthcare Expo,72,Qualified,45282,,21079.06,0,Chen Wei,OPP-00238
Team A,Europe,CloudWorks,Cloud Computing,Referral,Green tech day,79,Closed Won,45786,45869,44655.76,49376.97,Priya Singh,OPP-00239
Team C,Asia-Pacific,SafeBank,Financial Services,Referral,Summer Outreach,61,Closed Won,45327,45386,68903.99,58234,Lina Fernandez,OPP-00240
Team B,Latin-America,CloudWorks,Cloud Computing,Email Campaign,Green Tech Day,94,Closed Won,45775,45785,101007.33,106234.39,Rohit Menon,OPP-00241
Team E,North-America,FinEdge,Financial Services,Event,GreenTechDay,73,Closed Won,45338,45395,28449.17,27195.89,Rafael Souza,OPP-00242
Team C,Asia-Pacific,MediCore,Healthcare,Webinar,Summer Outreach,77,Qualified,45697,,13919.64,0,Lina Fernandez,OPP-00243
Team C,North-America,GreenSystems,Renewable Energy,Unknown,Education Forum,96,Closed Won,45218,45230,60548.81,56898.45,Samir Gupta,OPP-00244
Team A,Asia-Pacific,TechNova,Technology,Partnership,spring launch,69,Prospecting,45500,,38364.97,0,Priya Singh,OPP-00245
Team B,Asia-Pacific,TechNova,Technology,Social Media,Tech Summit,61,Proposal Sent,45201,,46306.655,0,Rohit Menon,OPP-00246
Team E,Latin-America,FinPeak,FinTech,Referral,green tech day,23,Negotiation,45827,,105673.63,0,Rafael Souza,OPP-00247
Team D,Europe,SafeBank,Financial Services,Email Campaign,Green Tech Day,82,Closed Won,45286,45304,31118.31,27539.29,Chen Wei,OPP-00248
Team C,Middle-East,MarketIQ,Market Intelligence,Unknown,Tech Summit,82,Negotiation,45605,,46306.655,0,Lina Fernandez,OPP-00249
Team A,Middle-East,FinPeak,FinTech,Webinar,Green tech day,92,Qualified,45867,,59771.76,0,Alex Patel,OPP-00250
Team A,Latin-America,HealthPlus,Healthcare,Email Campaign,Agri Meet,48,Qualified,45792,,103381.84,0,Alex Patel,OPP-00251
Team E,Middle-East,AgriHarvest,Agriculture,Social Media,Spring Launch,43,Prospecting,45415,,75473.44,0,Rafael Souza,OPP-00252
Team A,Middle-East,GreenSystems,Renewable Energy,Partnership,Referral Program,26,Proposal Sent,45501,,28088.88,0,Alex Patel,OPP-00253
Team E,Latin-America,EduNext,Education,Partnership,Summer Outreach,73,Closed Won,45420,45441,77088.54,64623.53,Sara Ibrahim,OPP-00254
Team B,Latin-America,EduNext,Education,Webinar,Tech Summit,51,Closed Won,45670,45753,68361.04,64224.54,Rohit Menon,OPP-00255
Team E,Latin-America,CloudWorks,Cloud Computing,Outbound,Spring Launch,73,Prospecting,45342,,188399.43,0,Sara Ibrahim,OPP-00256
Team A,North-America,MarketIQ,Market Intelligence,Unknown,Tech Summit,59,Proposal Sent,45399,,68878.4,0,Priya Singh,OPP-00257
Team A,Latin-America,HealthPlus,Healthcare,Partnership,Healthcare Expo,40,Qualified,45739,,62905.49,0,Priya Singh,OPP-00258
Team C,Asia-Pacific,SafeBank,Financial Services,Webinar,Education Forum,79,Proposal Sent,45444,,23789.83,0,Samir Gupta,OPP-00259
Team E,Asia-Pacific,FinEdge,Financial Services,Email Campaign,Summer Outreach,40,Prospecting,45794,,43682.56,0,Rafael Souza,OPP-00260
Team D,Asia-Pacific,BioHealth,Biotechnology,Referral,Summer Outreach,82,Proposal Sent,45699,,86362.76,0,Unknown,OPP-00261
Team C,Middle-East,GreenTech,Renewable Energy,Partnership,Spring launch,56,Closed Won,45682,45858,23507.18,26397.09,Lina Fernandez,OPP-00262
Team B,Middle-East,MediCore,Healthcare,Social Media,FinTech Webinar,62,Closed Won,45860,45869,20415.31,16860.17,Rohit Menon,OPP-00263
Team E,North-America,CloudWorks,Cloud Computing,Inbound,Green tech day,44,Closed Won,45444,45595,85155.19,69287.81,Sara Ibrahim,OPP-00264
Team C,Middle-East,FinPeak,FinTech,Outbound,Summer Outreach,39,Prospecting,45607,,46441.63,0,Lina Fernandez,OPP-00265
Team B,Asia-Pacific,MarketIQ,Market Intelligence,Email Campaign,Unknown,48,Proposal Sent,45604,,14349.59,0,Meera Shah,OPP-00266
Team D,Latin-America,AgriCorp,Agriculture,Event,Education Forum,74,Prospecting,45856,,80515.06,0,Chen Wei,OPP-00267
Team A,Europe,FinPeak,FinTech,Referral,Green Tech Day,66,Negotiation,45645,,31043.28,0,Priya Singh,OPP-00268
Team A,Latin-America,FinPeak,FinTech,Partnership,Summer Outreach,76,Closed Won,45753,45787,51174.61,41624.83,Alex Patel,OPP-00269
Team D,Middle-East,MarketIQ,Market Intelligence,Partnership,Agri Meet,66,Qualified,45672,,74115.16,0,Chen Wei,OPP-00270
Team D,Middle-East,MarketIQ,Market Intelligence,Social Media,Tech Summit,84,Closed Won,45310,45339,30470.32,32732.93,Chen Wei,OPP-00271
Team E,Latin-America,GreenSystems,Renewable Energy,Social Media,FinTech Webinar,29,Proposal Sent,45202,,73440.28,0,Sara Ibrahim,OPP-00272
Team A,Europe,MediCore,Healthcare,Event,Tech Summit,73,Proposal Sent,45305,,60177.98,0,Alex Patel,OPP-00273
Team D,Latin-America,AgriHarvest,Agriculture,Email Campaign,Healthcare Expo,31,Prospecting,45798,,69207.79,0,Chen Wei,OPP-00274
Team B,Europe,MediCore,Healthcare,Referral,Green Tech Day,64,Prospecting,45765,,50310.87,0,Meera Shah,OPP-00275
Team A,Latin-America,AgriCorp,Agriculture,Referral,Healthcare Expo,42,Closed Lost,45257,45282,80280.89,0,Priya Singh,OPP-00276
Team D,Middle-East,SafeBank,Financial Services,Email Campaign,Referral Program,20,Prospecting,45608,,64334.51,0,Emma Johnson,OPP-00277
Team D,Asia-Pacific,GreenSystems,Renewable Energy,Partnership,Spring launch,58,Prospecting,45450,,33494.56,0,Chen Wei,OPP-00278
Team B,Latin-America,MarketIQ,Market Intelligence,Outbound,Green Tech Day,41,Qualified,45352,,20792.6,0,Rohit Menon,OPP-00279
Team E,Asia-Pacific,FinPeak,FinTech,Partnership,Healthcare Expo,25,Proposal Sent,45422,,55733.46,0,Rafael Souza,OPP-00280
Team E,Middle-East,AgriHarvest,Agriculture,Social Media,Tech summit,85,Closed Won,45235,45269,33548.02,35027.04,Rafael Souza,OPP-00281
Team E,Asia-Pacific,GreenSystems,Renewable Energy,Email Campaign,Education Forum,98,Prospecting,45822,,41922.76,0,Sara Ibrahim,OPP-00282
Team B,Latin-America,AgriCorp,Agriculture,Inbound,Healthcare Expo,51,Closed Won,45420,45561,32488.94,37226.1,Meera Shah,OPP-00283
Team D,Latin-America,FinPeak,FinTech,Referral,Referral Program,96,Qualified,45836,,68673.88,0,Emma Johnson,OPP-00284
Team B,Asia-Pacific,Urbanmobility,Unknown,Inbound,healthcare expo,87,Qualified,45786,,13373.63,0,Rohit Menon,OPP-00285
Team C,Latin-America,Urbanmobility,Transportation,Social Media,Green Tech Day,41,Qualified,45589,,21228.34,0,Samir Gupta,OPP-00286
Team D,Europe,AgriHarvest,Agriculture,Partnership,Healthcare Expo,96,Qualified,45722,,78956.99,0,Emma Johnson,OPP-00287
Team D,Middle-East,Urbanmobility,Transportation,Referral,Referral Program,43,Qualified,45468,,57187.05,0,Emma Johnson,OPP-00288
Team C,North-America,MarketIQ,Market Intelligence,Outbound,SpringLaunch,32,Negotiation,45787,,30256.05,0,Samir Gupta,OPP-00289
Team A,Asia-Pacific,BioHealth,Biotechnology,Webinar,Tech Summit,63,Proposal Sent,45505,,69480.89,0,Priya Singh,OPP-00290
Team B,Middle-East,TechNova,Technology,Webinar,Healthcare Expo,49,Prospecting,45370,,46764.28,0,Rohit Menon,OPP-00291
Team A,Latin-America,BioHealth,Biotechnology,Partnership,Agri Meet,61,Proposal Sent,45226,,83220.48,0,Priya Singh,OPP-00292
Team E,Asia-Pacific,CloudWorks,Cloud Computing,Outbound,Fintech webinar,50,Qualified,45663,,84221.24,0,Sara Ibrahim,OPP-00293
Team C,Europe,HealthPlus,Healthcare,Event,Education Forum,91,Prospecting,45186,,94838.84,0,Lina Fernandez,OPP-00294
Team D,Asia-Pacific,EduNext,Education,Email Campaign,EducationForum,22,Prospecting,45723,,49766.24,0,Emma Johnson,OPP-00295
Team B,Europe,EduNext,Education,Partnership,Education Forum,71,Negotiation,45203,,34935.33,0,Rohit Menon,OPP-00296
Team A,Latin-America,GreenTech,Renewable Energy,Referral,Referral Program,59,Negotiation,45511,,95847.81,0,Priya Singh,OPP-00297
Team C,Middle-East,AgriCorp,Agriculture,Outbound,FinTech Webinar,94,Prospecting,45528,,120243.41,0,Samir Gupta,OPP-00298
Team D,Asia-Pacific,CloudWorks,Cloud Computing,Unknown,Agri Meet,60,Closed Lost,45653,45672,46657.58,0,Chen Wei,OPP-00299
Team C,Asia-Pacific,TechNova,Technology,Event,tech summit,72,Prospecting,45340,,6998.2,0,Lina Fernandez,OPP-00300
Team A,Europe,BioHealth,Biotechnology,Partnership,Summer Outreach,90,Prospecting,45183,,31495.92,0,Alex Patel,OPP-00301
Team D,North-America,GreenTech,Renewable Energy,Social Media,Spring Launch,81,Qualified,45335,,16681.71,0,Chen Wei,OPP-00302
Team C,North-America,TechNova,Technology,Webinar,Tech Summit,79,Closed Won,45647,45754,131939.71,146135.98,Samir Gupta,OPP-00303
Team A,Asia-Pacific,FinEdge,Financial Services,Outbound,FinTech Webinar,55,Closed Won,45248,45377,60772.46,69870.5,Priya Singh,OPP-00304
Team B,Asia-Pacific,BioHealth,Biotechnology,Outbound,Green Tech Day,84,Closed Lost,45637,45718,28332.36,0,Meera Shah,OPP-00305
Team D,Latin-America,FinPeak,FinTech,Inbound,Agri Meet,28,Prospecting,45229,,33799.14,0,Chen Wei,OPP-00306
Team D,Latin-America,MarketIQ,Market Intelligence,Email Campaign,FinTech Webinar,51,Qualified,45325,,69500.98,0,Emma Johnson,OPP-00307
Team D,Europe,SafeBank,Unknown,Social Media,Agri Meet,76,Prospecting,45437,,74992.64,0,Chen Wei,OPP-00308
Team D,Latin-America,SafeBank,Financial Services,Event,Spring Launch,33,Prospecting,45287,,55736.62,0,Emma Johnson,OPP-00309
Team E,Asia-Pacific,TechNova,Technology,Referral,FinTech Webinar,76,Prospecting,45248,,46306.655,0,Sara Ibrahim,OPP-00310
Team A,Europe,CloudWorks,Cloud Computing,Unknown,agri meet,75,Negotiation,45220,,65734.6,0,Priya Singh,OPP-00311
Team A,Latin-America,GreenTech,Renewable Energy,Webinar,Education Forum,39,Prospecting,45269,,53880.01,0,Alex Patel,OPP-00312
Team D,Asia-Pacific,FinPeak,FinTech,Inbound,Referral Program,54,Qualified,45540,,16816.39,0,Chen Wei,OPP-00313
Team D,Latin-America,TechNova,Technology,Outbound,Tech Summit,91,Qualified,45319,,82387.56,0,Chen Wei,OPP-00314
Team E,Asia-Pacific,MediCore,Healthcare,Email Campaign,Education forum,38,Prospecting,45656,,23869.01,0,Sara Ibrahim,OPP-00315
Team B,Europe,BioHealth,Biotechnology,Webinar,FinTech Webinar,44,Closed Won,45181,45288,88923.65,84656.81,Rohit Menon,OPP-00316
Team E,Asia-Pacific,GreenSystems,Renewable Energy,Inbound,referral program,56,Prospecting,45848,,62502.74,0,Rafael Souza,OPP-00317
Team C,Europe,AgriCorp,Agriculture,Email Campaign,Education Forum,20,Closed Lost,45437,45552,14764.66,0,Lina Fernandez,OPP-00318
Team D,Asia-Pacific,MediCore,Healthcare,Partnership,Healthcare Expo,99,Prospecting,45204,,61853.39,0,Chen Wei,OPP-00319
Team D,North-America,AgriHarvest,Agriculture,Social Media,Education Forum,58,Qualified,45255,,86334.18,0,Emma Johnson,OPP-00320
Team C,Asia-Pacific,FinPeak,FinTech,Social Media,FinTech Webinar,53,Closed Won,45676,45683,58179.28,69421.09,Samir Gupta,OPP-00321
Team E,Europe,FinEdge,Financial Services,Outbound,Spring Launch,87,Closed Won,45310,45337,40462.91,45799.52,Rafael Souza,OPP-00322
Team C,Latin-America,TechNova,Technology,Social Media,Unknown,97,Negotiation,45201,,44959.6,0,Samir Gupta,OPP-00323
Team A,Europe,SafeBank,Financial Services,Webinar,Agri Meet,61,Qualified,45582,,18403.55,0,Alex Patel,OPP-00324
Team C,North-America,Urbanmobility,Transportation,Email Campaign,Green Tech Day,83,Closed Lost,45288,45466,25826.25,0,Lina Fernandez,OPP-00325
Team E,Europe,AgriCorp,Agriculture,Event,Referral Program,67,Proposal Sent,45604,,68190.1,0,Sara Ibrahim,OPP-00326
Team C,Middle-East,AgriHarvest,Agriculture,Referral,SpringLaunch,92,Proposal Sent,45409,,112002.35,0,Samir Gupta,OPP-00327
Team B,Europe,CloudWorks,Cloud Computing,Event,Fintech webinar,61,Proposal Sent,45727,,89501.83,0,Rohit Menon,OPP-00328
Team E,North-America,FinEdge,Financial Services,Social Media,Spring Launch,61,Qualified,45523,,37604.4,0,Rafael Souza,OPP-00329
Team A,Middle-East,AgriHarvest,Agriculture,Inbound,HealthcareExpo,96,Negotiation,45242,,25263.46,0,Priya Singh,OPP-00330
Team B,Latin-America,FinPeak,FinTech,Email Campaign,healthcare expo,75,Negotiation,45221,,29281.31,0,Meera Shah,OPP-00331
Team A,Middle-East,SafeBank,Financial Services,Inbound,Referral Program,77,Prospecting,45590,,82666.27,0,Priya Singh,OPP-00332
Team C,Middle-East,MediCore,Healthcare,Referral,Summer outreach,27,Prospecting,45369,,42600.14,0,Lina Fernandez,OPP-00333
Team B,North-America,MediCore,Healthcare,Email Campaign,Unknown,83,Qualified,45556,,101432.03,0,Rohit Menon,OPP-00334
Team B,Asia-Pacific,BioHealth,Biotechnology,Referral,Education Forum,60,Prospecting,45229,,27941.33,0,Meera Shah,OPP-00335
Team A,Middle-East,FinEdge,Financial Services,Partnership,Education Forum,61,Prospecting,45313,,29428.56,0,Priya Singh,OPP-00336
Team A,Latin-America,MarketIQ,Market Intelligence,Email Campaign,education forum,33,Proposal Sent,45740,,90641.24,0,Priya Singh,OPP-00337
Team C,North-America,FinEdge,Financial Services,Inbound,FinTech Webinar,59,Prospecting,45479,,44157.37,0,Samir Gupta,OPP-00338
Team E,Latin-America,EduNext,Education,Webinar,Referral Program,37,Closed Lost,45580,45737,140155.84,0,Rafael Souza,OPP-00339
Team C,Europe,MediCore,Healthcare,Email Campaign,Summer Outreach,33,Negotiation,45372,,46306.655,0,Lina Fernandez,OPP-00340
Team A,Asia-Pacific,MediCore,Healthcare,Partnership,Healthcare Expo,61,Closed Lost,45666,45781,33994.4,0,Alex Patel,OPP-00341
Team D,Latin-America,HealthPlus,Healthcare,Email Campaign,Agri Meet,96,Prospecting,45337,,55493.47,0,Chen Wei,OPP-00342
Team B,Middle-East,CloudWorks,Cloud Computing,Outbound,Referral Program,74,Prospecting,45476,,71261.89,0,Meera Shah,OPP-00343
Team D,North-America,EduNext,Education,Webinar,Summer Outreach,69,Proposal Sent,45195,,63407.99,0,Emma Johnson,OPP-00344
Team B,North-America,EduNext,Education,Webinar,Tech Summit,21,Prospecting,45791,,83374.04,0,Rohit Menon,OPP-00345
Team E,Middle-East,AgriHarvest,Agriculture,Outbound,Healthcare Expo,77,Prospecting,45308,,21481.7,0,Rafael Souza,OPP-00346
Team A,Asia-Pacific,FinPeak,FinTech,Email Campaign,Tech Summit,61,Prospecting,45550,,38818.88,0,Priya Singh,OPP-00347
Team E,Europe,SafeBank,Financial Services,Inbound,FinTech Webinar,26,Proposal Sent,45513,,11421.35,0,Sara Ibrahim,OPP-00348
Team E,North-America,EduNext,Education,Outbound,Education Forum,24,Qualified,45628,,33232.25,0,Rafael Souza,OPP-00349
Team B,North-America,AgriCorp,Agriculture,Email Campaign,Green tech day,61,Prospecting,45570,,20585.68,0,Rohit Menon,OPP-00350
Team C,Asia-Pacific,EduNext,Education,Email Campaign,FinTech Webinar,51,Prospecting,45214,,21500.65,0,Samir Gupta,OPP-00351
Team D,North-America,GreenSystems,Renewable Energy,Unknown,Spring Launch,38,Closed Won,45466,45545,25181.77,27981.67,Chen Wei,OPP-00352
Team C,Latin-America,AgriCorp,Agriculture,Referral,Tech Summit,58,Prospecting,45799,,17832.61,0,Samir Gupta,OPP-00353
Team E,North-America,MediCore,Healthcare,Partnership,Summer Outreach,68,Prospecting,45843,,30644.15,0,Sara Ibrahim,OPP-00354
Team E,Middle-East,AgriHarvest,Agriculture,Outbound,Healthcare Expo,88,Prospecting,45792,,17276.62,0,Sara Ibrahim,OPP-00355
Team C,Middle-East,Urbanmobility,Transportation,Social Media,Education Forum,44,Prospecting,45862,,58912.96,0,Samir Gupta,OPP-00356
Team B,North-America,AgriHarvest,Agriculture,Outbound,Green Tech Day,49,Qualified,45444,,40811.46,0,Rohit Menon,OPP-00357
Team B,North-America,BioHealth,Biotechnology,Event,Healthcare Expo,85,Qualified,45565,,73158.07,0,Rohit Menon,OPP-00358
Team B,Europe,HealthPlus,Healthcare,Inbound,Tech Summit,80,Qualified,45216,,39016.28,0,Rohit Menon,OPP-00359
Team B,Asia-Pacific,HealthPlus,Healthcare,Social Media,Referral Program,64,Qualified,45588,,80805.02,0,Meera Shah,OPP-00360
Team E,Asia-Pacific,TechNova,Technology,Social Media,Agri meet,49,Prospecting,45443,,26603.64,0,Rafael Souza,OPP-00361
Team D,North-America,AgriHarvest,Agriculture,Referral,Healthcare Expo,31,Prospecting,45838,,19613.22,0,Emma Johnson,OPP-00362
Team C,Europe,GreenTech,Renewable Energy,Outbound,Healthcare Expo,88,Qualified,45478,,93812.21,0,Lina Fernandez,OPP-00363
Team E,North-America,CloudWorks,Cloud Computing,Partnership,referral program,40,Prospecting,45621,,32453.06,0,Sara Ibrahim,OPP-00364
Team A,Asia-Pacific,TechNova,Technology,Event,Fintech webinar,60,Qualified,45868,,13260.84,0,Alex Patel,OPP-00365
Team E,Europe,HealthPlus,Healthcare,Webinar,Summer Outreach,42,Prospecting,45440,,18879.51,0,Sara Ibrahim,OPP-00366
Team B,Middle-East,EduNext,Education,Inbound,Agri Meet,66,Negotiation,45759,,46306.655,0,Unknown,OPP-00367
Team A,Middle-East,MediCore,Healthcare,Social Media,Tech Summit,79,Proposal Sent,45554,,36910.12,0,Alex Patel,OPP-00368
Team C,Europe,HealthPlus,Healthcare,Inbound,Green Tech Day,70,Closed Lost,45290,45305,11348.89,0,Lina Fernandez,OPP-00369
Team C,Europe,CloudWorks,Cloud Computing,Partnership,Summer Outreach,70,Closed Lost,45305,45363,26128.17,0,Lina Fernandez,OPP-00370
Team A,Asia-Pacific,AgriCorp,Agriculture,Referral,tech summit,49,Prospecting,45261,,17347.73,0,Priya Singh,OPP-00371
Team B,North-America,GreenSystems,Renewable Energy,Partnership,Green Tech Day,70,Closed Lost,45420,45505,62853.61,0,Meera Shah,OPP-00372
Team C,Middle-East,FinEdge,Financial Services,Social Media,Healthcare Expo,52,Negotiation,45483,,15844.1,0,Lina Fernandez,OPP-00373
Team D,Asia-Pacific,Urbanmobility,Transportation,Event,Healthcare Expo,82,Prospecting,45440,,108779.86,0,Emma Johnson,OPP-00374
Team C,Middle-East,BioHealth,Biotechnology,Social Media,Spring Launch,72,Qualified,45759,,15092.26,0,Samir Gupta,OPP-00375
Team B,Asia-Pacific,GreenTech,Renewable Energy,Social Media,Education Forum,85,Prospecting,45827,,16618.77,0,Rohit Menon,OPP-00376
Team C,Middle-East,GreenSystems,Renewable Energy,Social Media,agri meet,85,Prospecting,45261,,23056.35,0,Samir Gupta,OPP-00377
Team D,Middle-East,EduNext,Education,Email Campaign,Spring Launch,63,Negotiation,45801,,55107.47,0,Emma Johnson,OPP-00378
Team E,North-America,FinEdge,Financial Services,Social Media,Healthcare expo,99,Qualified,45192,,111298.27,0,Sara Ibrahim,OPP-00379
Team D,Asia-Pacific,MediCore,Healthcare,Referral,Summer Outreach,51,Proposal Sent,45251,,82782.86,0,Emma Johnson,OPP-00380
Team A,Europe,EduNext,Education,Social Media,Green Tech Day,88,Proposal Sent,45410,,25286.91,0,Alex Patel,OPP-00381
Team D,Asia-Pacific,FinEdge,Financial Services,Social Media,Summer Outreach,76,Prospecting,45197,,26056.75,0,Chen Wei,OPP-00382
Team E,North-America,SafeBank,Financial Services,Outbound,Spring Launch,56,Closed Won,45617,45703,76738.67,82063.5,Sara Ibrahim,OPP-00383
Team A,Middle-East,BioHealth,Biotechnology,Webinar,Spring Launch,60,Prospecting,45741,,50205.84,0,Alex Patel,OPP-00384
Team B,Latin-America,GreenTech,Renewable Energy,Social Media,Education Forum,78,Proposal Sent,45284,,44055.83,0,Rohit Menon,OPP-00385
Team D,Europe,SafeBank,Financial Services,Outbound,FinTech Webinar,47,Closed Lost,45361,45436,35766.65,0,Emma Johnson,OPP-00386
Team E,Middle-East,AgriCorp,Agriculture,Webinar,AgriMeet,36,Qualified,45384,,35733.75,0,Unknown,OPP-00387
Team D,Latin-America,MediCore,Healthcare,Social Media,Healthcare Expo,33,Closed Lost,45807,45869,56559.45,0,Emma Johnson,OPP-00388
Team A,Middle-East,BioHealth,Biotechnology,Outbound,Tech Summit,73,Qualified,45675,,16124.66,0,Unknown,OPP-00389
Team B,North-America,Urbanmobility,Transportation,Social Media,Tech Summit,37,Closed Won,45439,45494,52007.62,46995.93,Rohit Menon,OPP-00390
Team B,North-America,BioHealth,Biotechnology,Social Media,Education Forum,88,Qualified,45667,,33493.72,0,Meera Shah,OPP-00391
Team A,Europe,EduNext,Education,Webinar,Spring Launch,39,Prospecting,45267,,13825.19,0,Priya Singh,OPP-00392
Team D,Asia-Pacific,Urbanmobility,Transportation,Outbound,Green Tech Day,40,Closed Won,45447,45479,86129.63,70326.56,Unknown,OPP-00393
Team C,Latin-America,AgriHarvest,Agriculture,Partnership,Summer Outreach,60,Closed Won,45848,45869,51228.26,54121.4,Lina Fernandez,OPP-00394
Team A,Latin-America,MediCore,Healthcare,Inbound,Spring Launch,62,Negotiation,45766,,158368.89,0,Priya Singh,OPP-00395
Team D,Europe,MarketIQ,Market Intelligence,Event,Summer Outreach,54,Qualified,45219,,77112.66,0,Chen Wei,OPP-00396
Team E,Asia-Pacific,FinPeak,FinTech,Social Media,Agri Meet,80,Qualified,45543,,8976.65,0,Sara Ibrahim,OPP-00397
Team B,Middle-East,TechNova,Technology,Outbound,FinTech Webinar,96,Prospecting,45441,,20824.1,0,Rohit Menon,OPP-00398
Team E,North-America,Urbanmobility,Transportation,Webinar,Agri Meet,26,Proposal Sent,45393,,81825.21,0,Rafael Souza,OPP-00399
Team C,Middle-East,BioHealth,Biotechnology,Webinar,Agri Meet,38,Qualified,45224,,62988.59,0,Samir Gupta,OPP-00400
Team E,Asia-Pacific,AgriCorp,Agriculture,Social Media,agri meet,94,Prospecting,45791,,122796.07,0,Sara Ibrahim,OPP-00401
